OTU,S110_L001,S111_L001,S112_L001,S113_L001,S114_L001,S115_L001,S116_L001,S117_L001,S118_L001,S119_L001,S120_L001,S121_L001,S122_L001
558242253315b083a4110734db92102233b3c572,1,0,1,2,0,13,3,9,4,1,0,0,3
619695ce5cd216cba896b4bc5018b751f17a8556,0,0,2,2,1,10,5,7,0,4,1,5,0
63595004076c13635f857d82db8e5eb95b9a5b5e,0,0,4,2,0,7,4,4,1,5,4,2,4
70812964794cacc70c965c7ce71f0719f46d49a8,0,0,4,2,0,7,8,9,3,2,1,0,1
78f65e19a67b795473ab6077940cbc8bf8b29a6a,0,0,2,2,0,7,11,5,1,5,0,1,3
80e83391d719ed2551af4ad26ff41f4f7634fbad,0,0,2,1,1,7,5,10,1,0,3,2,5
93a2a9034a13f798f834fc5ce23b4094980fc704,0,0,3,2,0,12,2,4,3,5,3,1,2
a6c160e481d45810f6a715fdaa74aa449dfe06fb,0,0,6,9,0,14,2,3,2,0,0,1,0
bc2dec36296718dfc4fb2daf167283c5011c1d46,0,0,2,3,1,11,9,3,1,2,1,0,4
bfcfeb01e1ae339cdea719454b82947be1649eab,0,0,1,1,1,12,3,14,1,1,2,0,1
c02e1780dc1948ea7c266d26deb6b3a91a127ad9,0,0,1,5,0,13,9,0,2,2,0,4,1
c375c64995d0c8781946f60020c5e5780bd7907d,0,0,5,0,2,6,9,10,2,1,1,1,0
dcd6a82e38021d999c3432d7dbd32a1b03f3897f,1,0,2,0,0,14,4,6,0,4,1,2,3
de541414d1216728d7d89a44a75abd90b4057a0b,0,0,1,2,2,9,3,2,3,3,2,9,1
df47fa923c8ba9255c30ef775086a7b8068d591a,1,0,4,5,0,8,7,6,1,3,1,0,1
e61edd59c7daf983792ecdf4f64d831d79ec1f88,0,0,2,3,0,13,5,8,3,0,0,1,2
ed40502ef1f091587ee1937446f012ecd2c19f96,0,0,1,2,2,14,7,6,0,2,0,2,1
faf2d465118a212d88bfe76edf1418e1f0db6cf4,0,0,0,5,0,13,4,7,1,3,0,2,2
0026acc6e46a07df3337aed52c87cf85f5ffbb06,0,0,0,3,2,11,6,7,1,6,0,0,0
05b0c2bc8da752c61bba61ff4793e42785ee9b9e,0,0,3,4,1,6,8,7,2,1,0,2,2
14e8849796c535517438f223a406a3d7d82b1b43,0,0,2,1,0,5,6,7,3,9,0,1,2
1e07bef9ca0c8633dfb9de80e8bfa967c0b450b5,0,0,2,3,0,13,2,11,1,3,0,0,1
2bb5acbbcb6e7b706bb37b4fd1186f6cf31f49bb,0,1,2,3,0,10,7,9,0,1,1,2,0
2e9171ee7de5501e368f67184ded90b5e4e3f613,0,0,3,1,0,9,11,5,0,4,2,0,1
37d821351b73cf9fe86ef04c1ed74bdf0387dc3b,1,0,4,4,1,7,3,12,1,1,0,2,0
392d6cd217fca4d6dddd252595eabc3f84e93b41,0,0,1,4,0,10,8,5,2,1,1,3,1
399c909c2b18bf5e598f36b2220266b6b04dc07b,0,0,3,5,0,5,5,9,0,2,3,3,1
54d622b22666cb5b4180a8ed9f15d35d1733c729,0,0,1,3,1,10,8,7,0,1,1,0,4
6615b0209ee9bce057581311425e892777b5e4f5,0,0,3,5,2,6,6,2,0,6,5,1,0
672328ef4c1c4301bc235ec029ef40b35bc02891,0,0,3,5,0,6,9,3,3,2,2,2,1
771b1e466d356016ffeed9c911e0aa72ab4fdd1d,0,0,2,1,1,8,8,7,0,5,0,0,4
7c2dc4cc3127941ae2cb76984a83b81733ad90cb,0,0,1,3,1,8,9,4,0,2,2,6,0
7cfaaaf7973993551b623ce0c39ab0a7a16094b4,0,0,3,4,2,7,10,3,1,2,2,0,2
a08ed1f93a3936c47e5bc3372dac6d9dc8a12271,1,0,3,6,0,6,2,1,3,7,0,4,3
a258acc83caaa02ac19d709e65c6d30f4eedd684,0,0,4,3,1,9,4,8,3,0,1,3,0
a57b01cdc48e48b0635a394094fa112aeb4e42c4,0,1,2,3,2,6,5,6,4,6,0,0,1
a89da79db35887dda97129c742b9293fd09e9a2b,0,0,1,4,0,15,4,6,1,1,2,1,1
ab180897f13a29368c92fa4ce02bee1c0f77ad05,2,0,5,3,0,8,1,6,1,5,1,2,2
adf56a09e599dbd0fef6ae9ff4f1ac440e928161,0,0,5,4,0,8,5,5,1,4,3,0,1
ae653ca694e961101c8ee7cf274c3253b555f540,0,1,3,3,0,6,12,5,1,4,0,1,0
c1d9aeed63b1426e20325bbabab122514cc7c892,1,0,3,1,0,11,4,3,5,4,2,2,0
ca88bd99e8b27125dc74f50896f1103b1ee0baec,0,0,1,2,4,11,4,4,3,3,0,1,3
cb01e838547d3ac4316c5b5f40d0062f1c315b58,0,0,3,1,0,12,5,6,0,4,2,3,0
d102936d8610195caef2cd43619f209a762dad6b,0,0,2,4,1,7,10,8,0,3,1,0,0
e36144dd19e12ae4267c58bceb770fc5fc24e557,0,0,2,4,0,10,5,5,2,3,3,0,2
e3a00ab0ac2775681323259ca8ad1e77e16f93d1,1,0,1,3,1,10,5,10,2,0,0,3,0
e8cb250cc762a2a1e43f7e36842f363c90dde03b,0,0,2,1,0,6,5,12,4,1,1,2,2
ec21e2796a92989b55084cba0b7933a494010435,0,0,4,2,2,9,3,9,1,5,0,1,0
f06bb9e6948b5441823a3a020699d8362b45e524,0,0,3,4,2,10,3,3,1,4,5,1,0
f7edffe645c350ed58cacc425d0cc59d328c3748,1,0,1,6,2,8,2,8,2,4,0,2,0
f9d88e0b947cf144b35e4b76df9f34e470291fb0,0,0,1,3,1,9,6,6,0,8,0,2,0
093b8e6808b584a07868846bf614c243d2b97f42,0,0,2,3,0,10,7,6,0,3,1,2,1
0e5b5401009cfaa4ddb24020efa9700969d5cbbb,0,0,4,1,0,15,1,6,0,3,0,1,4
1a238c102d9edc6a29dce1d0af91497abdf7dbbc,0,0,2,4,0,10,1,6,1,4,2,5,0
1b12bf4102b75a1bf86447bc77ae256049a991e6,0,0,4,2,0,5,4,13,1,3,1,0,2
360e7a643dfdee3be0942ca40e236f53049c12e0,0,0,4,1,0,13,3,2,3,4,0,0,5
51019edc7ff845b7f6c5c105bb1f9fa9809ea4ec,0,0,2,4,0,12,2,5,2,2,3,0,3
